marker	mapped_alignments.CRH01	mapped_alignments.CRH02	mapped_alignments.CRH03	mapped_alignments.CRH04	mapped_alignments.CRH05	samples_supported	minimum_count	total_count	gene
anura-00895_sacs-ex2	49140	9960	17855	46384	46132	5	9960	169471	sacs
anura-03830_anon-2430	4928	2081	2704	2284	2801	5	2081	14798	anon-2430
anura-05626_pdp1	5167	1678	2671	5056	4999	5	1678	19571	pdp1
anura-05623_det1-ex2	4987	1614	2911	4526	4818	5	1614	18856	det1
ranoidea-04710_rev3l-ex3	7774	1579	3057	7199	7319	5	1579	26928	rev3l
anura-05742_uce-1408	3199	1462	2432	3156	2716	5	1462	12965	uce-1408
ranoidea-02359_znf219	7083	1457	2458	7695	6318	5	1457	25011	znf219
anura-00500_aftph-ex2	7352	1398	2151	6815	7060	5	1398	24776	aftph
anura-05760_uce-1598	2467	1386	2135	2470	2554	5	1386	11012	uce-1598
anura-01752_klhl11-ex2	4787	1316	1895	4840	5089	5	1316	17927	klhl11
anura-04222_rreb1-ex4	1611	1841	2640	1316	1797	5	1316	9205	rreb1
ranoidea-02510_fat4-ex1	5108	1315	1990	4029	5103	5	1315	17545	fat4
ranoidea-03412_msh6-ex1	4042	1311	2023	4274	3493	5	1311	15143	msh6
anura-05761_uce-1624	2665	1289	1947	2802	2314	5	1289	11017	uce-1624
ranoidea-03768_loc100494784	11752	1252	1966	6629	6252	5	1252	27851	loc100494784
ranoidea-05769_lig4-ex1	6978	1203	1714	8027	7810	5	1203	25732	lig4
anura-00539_camsap3	4159	1438	1143	4730	4210	5	1143	15680	camsap3
ranoidea-00110_heca	2678	1225	1140	4084	3813	5	1140	12940	heca
ranoidea-03312_anon-1888	3873	1122	1092	4327	4345	5	1092	14759	anon-1888
anura-05667_uce-0374	1885	1083	1473	2391	2082	5	1083	8914	uce-0374
anura-05834_uce-2703	1852	1041	1495	1793	1632	5	1041	7813	uce-2703
anura-00737_loc100488825	2162	968	1470	2673	2388	5	968	9661	loc100488825
ranoidea-03812_fignl1	6563	964	1712	9445	6894	5	964	25578	fignl1
anura-05744_uce-1412	1843	958	1532	1768	1524	5	958	7625	uce-1412
anura-05739_uce-1376	1846	950	1461	2059	1674	5	950	7990	uce-1376
ranoidea-00383_shroom2-ex1	5007	949	1633	6000	6535	5	949	20124	shroom2
ranoidea-00455_eif2ak4-ex2	1026	1043	931	2136	2105	5	931	7241	eif2ak4
ranoidea-00725_igsf9-ex2	3547	1832	929	12681	2087	5	929	21076	igsf9
anura-04193_sms-ex1	1599	891	1158	1497	1523	5	891	6668	sms
ranoidea-06991_gemin4	8890	852	1170	7808	8420	5	852	27140	gemin4
ranoidea-07334_uce-0708	1685	845	1434	1841	1284	5	845	7089	uce-0708
ranoidea-07359_uce-3584	1552	821	1414	1633	1338	5	821	6758	uce-3584
anura-02519_c11orf95	1174	813	1314	1330	1944	5	813	6575	c11orf95
anura-01316_gemin5-ex1	1520	956	812	1869	1240	5	812	6397	gemin5
anura-05782_znf423-ex2	1724	807	1394	1656	1413	5	807	6994	znf423
anura-04275_klhl8-ex2	2262	805	1247	1879	2327	5	805	8520	klhl8
anura-05759_uce-1588	1958	804	1539	1967	1437	5	804	7705	uce-1588
anura-05776_uce-1920	1295	787	895	1530	1321	5	787	5828	uce-1920
ranoidea-05892_rai14-ex2	5810	772	1072	39026	8484	5	772	55164	rai14
ranoidea-07331_uce-0610	1701	738	1246	1881	1568	5	738	7134	uce-0610
anura-04657_pars2	2672	734	1131	2093	2327	5	734	8957	pars2
anura-04693_xetrov90013451mg-ex8	1273	718	1073	1948	1603	5	718	6615	xetrov90013451mg
anura-02235_pla2g15	2751	1014	710	2410	2780	5	710	9665	pla2g15
anura-00517_lrp2-ex1	1486	706	1206	1915	1756	5	706	7069	lrp2
ranoidea-01748_arhgef28-ex1	1889	698	1518	1804	2186	5	698	8095	arhgef28
anura-05634_rag1	4833	688	1211	3473	4753	5	688	14958	rag1
anura-05758_uce-1563	1126	682	853	1135	1007	5	682	4803	uce-1563
anura-05573_extl3	1425	681	1101	1708	1798	5	681	6713	extl3
anura-04372_piga-ex1	1557	792	675	1103	1641	5	675	5768	piga
ranoidea-03675_anon-1999	1027	1270	666	2611	1538	5	666	7112	anon-1999
anura-04015_pycr1-ex1	1735	652	819	1892	2910	5	652	8008	pycr1
anura-06019_upf3a	1314	651	970	1385	1084	5	651	5404	upf3a
anura-05629_cpt2-ex3	3443	646	1051	3485	3310	5	646	11935	cpt2
anura-04407_rad50	1628	646	1053	1753	1626	5	646	6706	rad50
ranoidea-07382_uce-7136	1356	642	1072	1204	1139	5	642	5413	uce-7136
anura-04627_ncdn-ex1	2272	683	641	2736	1608	5	641	7940	ncdn
anura-05641_uce-0055	1233	641	1068	1224	1162	5	641	5328	uce-0055
anura-00587_otc-ex1	1293	637	1133	1190	860	5	637	5113	otc
anura-02532_nfic	1806	628	751	2114	1941	5	628	7240	nfic
anura-05673_uce-0464	911	658	626	1052	895	5	626	4142	uce-0464
anura-05142_smc2-ex6	1831	618	1009	1891	1718	5	618	7067	smc2
anura-02380_st5	2038	1041	614	1640	1381	5	614	6714	st5
ranoidea-05027_anon-2431	2608	605	761	2607	2200	5	605	8781	anon-2431
anura-01678_chdhl-ex1	3098	598	824	2812	2618	5	598	9950	chdhl
anura-05662_uce-0322	1155	597	905	1273	992	5	597	4922	uce-0322
anura-05681_uce-0591	1188	596	844	1131	1012	5	596	4771	uce-0591
anura-05738_uce-1363	1206	595	1019	1160	1044	5	595	5024	uce-1363
anura-01363_moxd1-ex2	806	794	589	1254	935	5	589	4378	moxd1
anura-01045_pik3cb-ex2	1050	582	655	1400	1030	5	582	4717	pik3cb
anura-03084_ercc4-ex8	2658	573	984	2110	2643	5	573	8968	ercc4
anura-03031_a1cf-ex2	1494	569	761	1689	1408	5	569	5921	a1cf
anura-05788_uce-2018	1329	565	1233	1255	1238	5	565	5620	uce-2018
anura-05628_mgat4c	710	562	997	1080	998	5	562	4347	mgat4c
ranoidea-05122_scaf8-ex1	6700	559	646	7143	6259	5	559	21307	scaf8
anura-06027_uce-5332	1073	556	883	978	1214	5	556	4704	uce-5332
anura-04339_eepd1	2120	551	1066	2684	2515	5	551	8936	eepd1
anura-04567_trmt11-ex3	579	549	910	664	676	5	549	3378	trmt11
ranoidea-04674_loc101733932	2595	544	823	2796	2758	5	544	9516	loc101733932
anura-05630_bdnf	966	544	704	1064	1426	5	544	4704	bdnf
anura-04579_iqcg-ex1	1108	540	1078	1828	1465	5	540	6019	iqcg
anura-02253_fam198b	1119	670	832	2007	540	5	540	5168	fam198b
anura-02839_senp5-ex2	4890	757	538	4878	4069	5	538	15132	senp5
anura-02803_wdr81-ex2	2792	531	730	2591	2449	5	531	9093	wdr81
ranoidea-07330_uce-0381	1217	528	974	1191	828	5	528	4738	uce-0381
ranoidea-01243_sec24a-ex1	1089	526	708	1020	1147	5	526	4490	sec24a
anura-05084_lats1	1638	523	861	1402	1478	5	523	5902	lats1
ranoidea-07012_loc100489540-ex2	1457	517	834	1729	1757	5	517	6294	loc100489540
anura-06056_uce-5634	1003	515	863	1069	830	5	515	4280	uce-5634
anura-05627_09589	1914	514	799	2249	2109	5	514	7585	09589
anura-05255_slc37a4	1447	510	758	1446	1243	5	510	5404	slc37a4
anura-01084_ric8b-ex1	815	509	940	1163	709	5	509	4136	ric8b
anura-00406_sptb-ex7	4376	508	1221	3369	3289	5	508	12763	sptb
ranoidea-06797_trim14	2079	508	680	2593	2171	5	508	8031	trim14
ranoidea-04829_nrm-ex1	2195	504	995	2072	2239	5	504	8005	nrm
ranoidea-05693_anon-2652	825	503	857	1199	843	5	503	4227	anon-2652
anura-02185_matn2-ex2	1363	596	502	1811	1177	5	502	5449	matn2
ranoidea-04145_lrp1-ex11	631	502	562	565	863	5	502	3123	lrp1
anura-06228_uce-7981	1048	501	907	1074	1084	5	501	4614	uce-7981
anura-02216_cep85l-ex1	2207	498	699	2136	1567	5	498	7107	cep85l
anura-01315_ptpn9-ex4	1733	498	568	1147	1551	5	498	5497	ptpn9
ranoidea-03220_afg3l2-ex1	1282	498	963	1488	1238	5	498	5469	afg3l2
anura-00174_sh3tc2l	1147	498	778	1630	1260	5	498	5313	sh3tc2l
anura-03440_anon-2263	2191	1056	497	1682	1344	5	497	6770	anon-2263
anura-05735_uce-1348	907	496	802	1039	951	5	496	4195	uce-1348
anura-06021_baz2b-ex3	1087	493	851	969	955	5	493	4355	baz2b
ranoidea-01548_anon-1335	1415	3956	1411	490	1691	5	490	8963	anon-1335
anura-00307_mbtps1-ex3	1470	489	667	1740	1591	5	489	5957	mbtps1
anura-05920_uce-3857	992	485	723	1047	815	5	485	4062	uce-3857
anura-05676_uce-0526	1066	484	850	1147	1110	5	484	4657	uce-0526
ranoidea-05108_sgpl1-ex3	481	488	701	795	1282	5	481	3747	sgpl1
ranoidea-01510_stat1	870	480	636	1174	1376	5	480	4536	stat1
anura-05305_loc100494793-ex1	1142	657	1084	649	479	5	479	4011	loc100494793
ranoidea-04090_fkrp	1734	699	478	1940	1265	5	478	6116	fkrp
ranoidea-02902_atml	576	476	479	2410	701	5	476	4642	atml
ranoidea-07365_uce-4741	1050	474	849	990	939	5	474	4302	uce-4741
anura-02020_chac2	1463	471	705	855	1379	5	471	4873	chac2
anura-01670_gpbp1l1	807	633	469	832	657	5	469	3398	gpbp1l1
anura-05732_uce-1285	744	467	619	808	709	5	467	3347	uce-1285
ranoidea-07324_rag2-ex1	3244	466	608	3159	3504	5	466	10981	rag2
ranoidea-03225_psmg2-ex1	1599	466	851	1548	1437	5	466	5901	psmg2
ranoidea-02070_jund2	3824	464	756	3895	3551	5	464	12490	jund2
anura-04624_zmym4-ex4	923	464	591	1138	774	5	464	3890	zmym4
anura-00936_anon-1217	1349	647	463	1714	1318	5	463	5491	anon-1217
anura-05972_uce-4553	739	616	462	782	675	5	462	3274	uce-4553
ranoidea-05878_myo18al-ex1	2517	461	557	2883	2206	5	461	8624	myo18al
ranoidea-03511_anon-1945	763	461	850	484	648	5	461	3206	anon-1945
ranoidea-00197_pcyox1l-ex3	3770	457	2076	3461	3159	5	457	12923	pcyox1l
anura-03609_c4orf33-ex1	2299	457	688	2370	2427	5	457	8241	c4orf33
anura-05679_uce-0558	1222	456	560	1104	1221	5	456	4563	uce-0558
anura-05781_uce-1964	942	453	654	958	826	5	453	3833	uce-1964
anura-01071_cog8-ex2	2658	449	687	2464	2461	5	449	8719	cog8
ranoidea-06508_urb1-ex1	1533	449	480	1449	1126	5	449	5037	urb1
ranoidea-04093_usp48-ex5	900	449	960	858	736	5	449	3903	usp48
anura-00038_ercc8	3012	448	529	2386	2089	5	448	8464	ercc8
ranoidea-06352_usp40-ex1	1259	447	691	1838	1119	5	447	5354	usp40
anura-05674_uce-0517	1082	446	911	1067	958	5	446	4464	uce-0517
ranoidea-04026_tbc1d8b-ex3	683	445	780	812	1114	5	445	3834	tbc1d8b
ranoidea-04001_loc108698971	1684	444	620	1047	2159	5	444	5954	loc108698971
ranoidea-05092_cfap97	2090	443	922	1851	2365	5	443	7671	cfap97
anura-04856_csgalnact1	1628	441	708	1333	1246	5	441	5356	csgalnact1
ranoidea-00529_mybbp1a-ex3	880	441	563	1246	1314	5	441	4444	mybbp1a
anura-01287_ubr3-ex4	1226	438	1084	1210	664	5	438	4622	ubr3
anura-03311_mocs1	1736	446	438	487	494	5	438	3601	mocs1
anura-05671_uce-0415	851	436	686	886	770	5	436	3629	uce-0415
anura-00746_rhoj	630	436	573	1004	730	5	436	3373	rhoj
ranoidea-06725_tbkbp1-ex1	1346	435	496	1445	1023	5	435	4745	tbkbp1
anura-06199_uce-7665	658	434	677	663	581	5	434	3013	uce-7665
ranoidea-03406_kiaa1257	2612	551	433	1949	1970	5	433	7515	kiaa1257
ranoidea-00228_ttc26-ex1	1345	433	579	1586	1198	5	433	5141	ttc26
anura-02942_ddc-ex3	1007	431	755	666	1212	5	431	4071	ddc
anura-05769_smarca2-ex3	798	429	581	892	767	5	429	3467	smarca2
ranoidea-06296_macf1-ex8	1230	428	434	1112	989	5	428	4193	macf1
anura-06159_uce-7048	921	427	737	956	910	5	427	3951	uce-7048
ranoidea-02764_phactr4-ex2	1870	424	488	593	816	5	424	4191	phactr4
ranoidea-00235_crtc1	1175	423	643	893	839	5	423	3973	crtc1
ranoidea-03510_prr14l	1962	422	1109	1954	1693	5	422	7140	prr14l
anura-04922_prrc1-ex1	1777	421	735	2591	2890	5	421	8414	prrc1
anura-05554_zeb2	1154	421	821	1062	1130	5	421	4588	zeb2
anura-03305_gclm-ex2	705	419	652	832	1032	5	419	3640	gclm
anura-06187_uce-7491	957	418	620	850	901	5	418	3746	uce-7491
ranoidea-02252_znf341-ex3	808	417	519	648	782	5	417	3174	znf341
anura-04575_abcc5-ex2	1098	415	649	890	1156	5	415	4208	abcc5
ranoidea-07347_uce-2288	1368	414	664	1589	1399	5	414	5434	uce-2288
anura-00579_slc35e2b-ex2	1346	410	522	1018	630	5	410	3926	slc35e2b
ranoidea-07378_uce-6196	1013	408	807	1035	822	5	408	4085	uce-6196
ranoidea-04192_c2orf42-ex3	1298	406	630	1472	1024	5	406	4830	c2orf42
ranoidea-05763_chd8-ex2	1066	406	588	679	684	5	406	3423	chd8
anura-03500_klf11-ex1	618	406	506	673	1188	5	406	3391	klf11
anura-04712_kiaa0430-ex2	2452	405	468	2954	2961	5	405	9240	kiaa0430
anura-04499_slc27a3-ex3	2596	402	576	1970	1463	5	402	7007	slc27a3
ranoidea-06331_mcm3ap-ex1	1616	402	994	1229	1180	5	402	5421	mcm3ap
anura-05700_uce-0783	696	402	557	619	683	5	402	2957	uce-0783
anura-05227_chac1	1715	401	476	1546	1050	5	401	5188	chac1
ranoidea-05470_alg14-ex2	690	515	401	754	820	5	401	3180	alg14
ranoidea-00278_zmiz1-ex3	963	399	639	951	908	5	399	3860	zmiz1
ranoidea-06663_gpc3-ex1	859	399	498	985	757	5	399	3498	gpc3
ranoidea-01517_rictor-ex3	2574	398	751	2371	3010	5	398	9104	rictor
ranoidea-00744_fmnl2-ex2	1385	398	445	1558	1342	5	398	5128	fmnl2
anura-05711_uce-0962	1332	398	853	1024	1402	5	398	5009	uce-0962
ranoidea-02419_atf3-ex1	989	395	711	481	982	5	395	3558	atf3
ranoidea-06619_nxpe3-ex1	2214	392	819	1997	1822	5	392	7244	nxpe3
anura-04933_map3k10	1078	472	392	956	949	5	392	3847	map3k10
anura-05717_uce-1059	877	392	749	990	789	5	392	3797	uce-1059
anura-01709_slco2a1-ex1	767	391	470	611	888	5	391	3127	slco2a1
anura-00438_colec10	2308	390	634	1818	1732	5	390	6882	colec10
anura-06095_adam22l	782	390	592	718	721	5	390	3203	adam22l
anura-05539_bbs1-ex2	578	388	428	1370	476	5	388	3240	bbs1
ranoidea-07362_ank3	2535	387	616	760	767	5	387	5065	ank3
anura-05854_uce-2925	816	386	847	825	823	5	386	3697	uce-2925
anura-03434_lonp1-ex7	628	388	385	741	471	5	385	2613	lonp1
ranoidea-00567_slc1a4-ex2	1393	382	868	1605	804	5	382	5052	slc1a4
ranoidea-04715_ric1-ex2	1351	382	509	1268	1338	5	382	4848	ric1
anura-05843_uce-2812	777	381	436	974	743	5	381	3311	uce-2812
ranoidea-07336_uce-0899	818	380	596	901	749	5	380	3444	uce-0899
ranoidea-03213_dnajc18	5228	379	1333	5218	6498	5	379	18656	dnajc18
anura-05549_lrp5-ex7	1335	378	572	1238	1009	5	378	4532	lrp5
ranoidea-05701_zc3h4-ex2	474	375	471	728	604	5	375	2652	zc3h4
anura-01230_naglu-ex1	1091	484	374	1420	909	5	374	4278	naglu
anura-01631_loc100145110-ex1	861	425	807	1030	372	5	372	3495	loc100145110
anura-05915_uce-3783	699	370	443	693	599	5	370	2804	uce-3783
anura-02764_gzf1-ex2	944	489	369	825	746	5	369	3373	gzf1
anura-02180_cpq-ex1	2293	367	393	1866	1419	5	367	6338	cpq
anura-00528_ttll12	1754	367	592	1581	1434	5	367	5728	ttll12
anura-05291_stradb-ex2	1610	365	467	1565	1422	5	365	5429	stradb
anura-06106_uce-6340	370	654	365	447	391	5	365	2227	uce-6340
anura-01911_pdgfrl2-ex1	1843	362	578	1626	1784	5	362	6193	pdgfrl2
anura-01761_cenpn	992	765	362	547	459	5	362	3125	cenpn
anura-06086_ctnnd2	627	361	681	659	564	5	361	2892	ctnnd2
ranoidea-00359_upp1-ex1	1372	360	430	1286	1122	5	360	4570	upp1
anura-06099_uce-6210	943	358	1071	1454	867	5	358	4693	uce-6210
ranoidea-06933_kmt2a-ex3	1010	381	357	1280	1379	5	357	4407	kmt2a
ranoidea-06807_paics1	1316	356	404	934	756	5	356	3766	paics1
anura-02110_atp10a-ex2	1207	355	678	1136	874	5	355	4250	atp10a
anura-05951_uce-4259	764	355	576	642	586	5	355	2923	uce-4259
anura-01932_anon-1614	857	354	730	844	880	5	354	3665	anon-1614
anura-05870_slc6a6	566	352	515	1647	501	5	352	3581	slc6a6
anura-05718_uce-1065	857	351	562	955	672	5	351	3397	uce-1065
anura-04841_tfeb-ex1	930	350	555	1361	1289	5	350	4485	tfeb
anura-02246_slc38a4	1015	348	595	1256	966	5	348	4180	slc38a4
anura-03897_man2b2-ex2	824	348	632	793	787	5	348	3384	man2b2
ranoidea-02329_irs2	1787	347	523	1566	2752	5	347	6975	irs2
anura-04076_slc35a4	872	521	347	915	870	5	347	3525	slc35a4
anura-00903_zfat-ex2	1845	345	535	1570	1893	5	345	6188	zfat
anura-05642_uce-0063	639	345	521	647	578	5	345	2730	uce-0063
anura-02947_mtx2	549	371	345	569	506	5	345	2340	mtx2
ranoidea-05086_nwd2	3328	344	931	3385	3450	5	344	11438	nwd2
ranoidea-06038_ece2	1292	344	587	1431	1151	5	344	4805	ece2
anura-04374_asb9-ex1	886	344	630	893	785	5	344	3538	asb9
ranoidea-02440_znf236-ex3	1182	344	353	351	731	5	344	2961	znf236
ranoidea-07056_ccdc30-ex2	542	351	344	452	468	5	344	2157	ccdc30
anura-00743_kif26a-ex1	974	342	614	1337	1379	5	342	4646	kif26a
anura-02396_evc-ex2	1146	341	629	1177	1245	5	341	4538	evc
anura-04139_ctu1	1182	341	719	899	579	5	341	3720	ctu1
ranoidea-01995_agl-ex5	1029	340	488	683	750	5	340	3290	agl
anura-01997_nlrx1-ex4	2158	338	501	3140	2340	5	338	8477	nlrx1
ranoidea-00437_mmrn1	1057	338	653	1596	1465	5	338	5109	mmrn1
anura-03422_cdk13-ex4	1753	354	337	1313	1292	5	337	5049	cdk13
anura-03348_ddx24	1032	336	359	863	1219	5	336	3809	ddx24
anura-03572_proser1-ex1	2321	332	603	3023	2289	5	332	8568	proser1
ranoidea-00420_sin3b-ex2	1331	332	514	1923	2181	5	332	6281	sin3b
anura-03292_anon-2193	886	331	573	445	598	5	331	2833	anon-2193
anura-06204_uce-7724	685	331	501	619	692	5	331	2828	uce-7724
ranoidea-02422_traf5-ex1	2062	330	571	1967	1411	5	330	6341	traf5
anura-06200_uce-7684	651	329	506	696	622	5	329	2804	uce-7684
anura-01556_slc46a1	2169	326	540	1586	1184	5	326	5805	slc46a1
anura-00689_pigo-ex3	2539	324	500	1489	1718	5	324	6570	pigo
ranoidea-07250_dennd4a-ex8	948	324	553	825	792	5	324	3442	dennd4a
anura-06212_uce-7797	535	393	323	632	546	5	323	2429	uce-7797
anura-06209_uce-7756	962	322	495	1115	792	5	322	3686	uce-7756
anura-00285_tgm4	645	322	459	348	658	5	322	2432	tgm4
ranoidea-07361_uce-3924	483	355	321	776	457	5	321	2392	uce-3924
anura-05497_dis3l-ex2	2125	320	510	2386	1948	5	320	7289	dis3l
anura-02737_c19orf60	1200	316	395	845	1028	5	316	3784	c19orf60
anura-06215_uce-7836	762	316	494	766	605	5	316	2943	uce-7836
ranoidea-04733_anon-2330	710	322	316	779	449	5	316	2576	anon-2330
ranoidea-04477_rbl2-ex2	846	314	438	861	573	5	314	3032	rbl2
ranoidea-00911_zfyve21	547	314	608	425	792	5	314	2686	zfyve21
anura-05978_uce-4618	1656	312	592	1408	2067	5	312	6035	uce-4618
ranoidea-03759_anon-2030	1149	487	312	1052	953	5	312	3953	anon-2030
anura-04682_pcca	800	312	687	863	734	5	312	3396	pcca
anura-06083_slf1	790	312	497	918	730	5	312	3247	slf1
ranoidea-01615_mapk8ip1	1114	310	451	1253	1140	5	310	4268	mapk8ip1
anura-03847_fahd1	1149	310	581	799	642	5	310	3481	fahd1
anura-03395_polr2e-ex1	757	310	322	784	607	5	310	2780	polr2e
anura-02341_tbc1d30-ex1	919	309	591	905	804	5	309	3528	tbc1d30
anura-02259_bms1-ex2	1017	309	428	670	936	5	309	3360	bms1
anura-05646_uce-0129	768	309	641	735	683	5	309	3136	uce-0129
ranoidea-06966_hhipl1	2136	308	517	1955	2016	5	308	6932	hhipl1
anura-01301_cndp1-ex1	726	308	345	1116	854	5	308	3349	cndp1
anura-01561_slc13a5-ex3	973	307	491	598	561	5	307	2930	slc13a5
anura-04995_cpb2	714	305	447	553	789	5	305	2808	cpb2
ranoidea-06037_anon-2748	1432	304	328	1523	1279	5	304	4866	anon-2748
anura-01984_atg14-ex3	854	304	683	826	784	5	304	3451	atg14
anura-05657_uce-0277	660	304	577	757	630	5	304	2928	uce-0277
anura-05945_uce-4179	542	304	513	595	623	5	304	2577	uce-4179
ranoidea-01147_snrnp35	3930	302	1246	3301	2958	5	302	11737	snrnp35
ranoidea-03998_ogdhl-ex1	1152	302	429	754	939	5	302	3576	ogdhl
ranoidea-00751_lrp6-ex4	867	302	390	679	590	5	302	2828	lrp6
anura-05695_uce-0738	596	302	470	585	592	5	302	2545	uce-0738
ranoidea-01936_slc6a7	374	302	419	552	472	5	302	2119	slc6a7
ranoidea-03251_foxq1	2382	389	301	2457	2692	5	301	8221	foxq1
anura-00850_hdac7-ex2	1529	341	301	1226	1175	5	301	4572	hdac7
anura-05656_uce-0268	557	301	691	680	698	5	301	2927	uce-0268
ranoidea-02354_mtmr3-ex1	1746	300	510	1798	1447	5	300	5801	mtmr3
anura-01743_ltn1-ex1	668	302	354	427	299	5	299	2050	ltn1
anura-06234_hipk1-ex3	523	298	653	632	627	5	298	2733	hipk1
anura-05678_uce-0551	531	298	423	451	458	5	298	2161	uce-0551
anura-03728_tymp-ex1	717	302	297	929	528	5	297	2773	tymp
ranoidea-04263_loc100489254	297	384	444	340	562	5	297	2027	loc100489254
anura-05980_uce-4662	296	429	626	591	485	5	296	2427	uce-4662
anura-01123_slc39a3	3341	293	839	3191	3927	5	293	11591	slc39a3
ranoidea-05375_slc2a8	1028	293	725	1241	950	5	293	4237	slc2a8
anura-05173_slc1a7	838	293	538	930	843	5	293	3442	slc1a7
anura-03146_loc100498531-ex2	988	292	366	1055	756	5	292	3457	loc100498531
ranoidea-00949_ddx5-ex1	416	599	1757	292	315	5	292	3379	ddx5
anura-02016_klhl22	763	291	664	935	857	5	291	3510	klhl22
anura-03929_recql5-ex4	834	292	398	315	291	5	291	2130	recql5
ranoidea-00943_ppip5k2-ex2	391	290	589	790	720	5	290	2780	ppip5k2
anura-05977_uce-4599	546	290	479	439	737	5	290	2491	uce-4599
anura-05683_uce-0609	516	289	430	576	473	5	289	2284	uce-0609
ranoidea-01139_als2-ex2	1473	288	557	1313	858	5	288	4489	als2
anura-01965_palmd	1264	287	413	1343	1025	5	287	4332	palmd
anura-04095_wipi2-ex1	333	287	496	512	448	5	287	2076	wipi2
ranoidea-01599_tbck-ex3	826	286	418	822	507	5	286	2859	tbck
anura-04439_chrnd-ex1	389	400	285	842	833	5	285	2749	chrnd
ranoidea-07391_atp2b2	497	285	362	450	436	5	285	2030	atp2b2
ranoidea-00669_nr1h5	1218	282	411	1538	950	5	282	4399	nr1h5
ranoidea-01089_zdhhc24l	948	282	520	880	924	5	282	3554	zdhhc24l
ranoidea-00700_anon-1081	745	282	311	667	383	5	282	2388	anon-1081
anura-04281_wdfy3-ex2	940	281	452	1061	1181	5	281	3915	wdfy3
anura-05869_uce-3130	478	281	508	438	439	5	281	2144	uce-3130
ranoidea-06687_ssh2	3387	280	456	2573	2838	5	280	9534	ssh2
anura-05895_uce-3530	1167	280	656	1201	980	5	280	4284	uce-3530
anura-05768_uce-1814	568	280	388	667	565	5	280	2468	uce-1814
anura-05661_uce-0319	591	277	435	569	447	5	277	2319	uce-0319
anura-04100_mmp19-ex2	922	276	468	575	695	5	276	2936	mmp19
ranoidea-00791_henmt1-ex1	636	276	523	690	683	5	276	2808	henmt1
anura-02493_aldh8a1-ex1	2611	275	573	1615	1622	5	275	6696	aldh8a1
anura-04430_sema4d-ex3	1958	275	298	2118	2034	5	275	6683	sema4d
ranoidea-03805_mtfr1l-ex2	987	275	431	991	747	5	275	3431	mtfr1l
anura-03840_arid1a-ex2	859	275	561	585	438	5	275	2718	arid1a
anura-06022_uce-5294	507	275	383	494	409	5	275	2068	uce-5294
anura-03149_col4a6-ex3	1754	274	657	1756	1497	5	274	5938	col4a6
ranoidea-03235_loc101733524-ex2	1616	274	386	2316	991	5	274	5583	loc101733524
ranoidea-07377_uce-6169	869	274	555	626	483	5	274	2807	uce-6169
anura-00165_rpusd1-ex4	1667	273	850	964	1498	5	273	5252	rpusd1
anura-05333_reln-ex6	528	273	295	619	460	5	273	2175	reln
anura-02593_tekt1-ex4	866	421	272	767	709	5	272	3035	tekt1
anura-05995_pbx1-ex2	368	278	466	291	272	5	272	1675	pbx1
ranoidea-05387_ap4e1-ex5	842	271	379	1052	1031	5	271	3575	ap4e1
anura-00467_cyb5d2-ex3	720	882	271	733	322	5	271	2928	cyb5d2
anura-05692_uce-0717	660	271	587	539	581	5	271	2638	uce-0717
ranoidea-04072_nln-ex4	2898	269	340	3001	3298	5	269	9806	nln
anura-02897_klhl30-ex2	1912	269	382	2273	2336	5	269	7172	klhl30
anura-02175_prmt5-ex1	850	269	531	612	1227	5	269	3489	prmt5
anura-02918_helz-ex1	941	268	415	998	755	5	268	3377	helz
anura-04974_tceanc	2611	267	748	2034	2358	5	267	8018	tceanc
anura-06094_uce-6177	621	267	456	575	500	5	267	2419	uce-6177
anura-06010_cttnbp2	822	266	294	790	740	5	266	2912	cttnbp2
anura-02995_nbas-ex16	425	331	266	1098	708	5	266	2828	nbas
anura-04516_rprd1b	903	377	265	1520	1084	5	265	4149	rprd1b
ranoidea-01547_flt4-ex2	776	265	468	677	410	5	265	2596	flt4
anura-05808_rbm39	692	265	447	547	480	5	265	2431	rbm39
ranoidea-01854_loc108648166	704	264	504	430	525	5	264	2427	loc108648166
anura-05737_uce-1357	836	263	525	790	648	5	263	3062	uce-1357
ranoidea-07338_uce-1422	683	263	512	607	583	5	263	2648	uce-1422
anura-03520_sh3rf1-ex2	636	262	305	624	621	5	262	2448	sh3rf1
anura-00480_dhx33-ex1	833	261	465	1071	1934	5	261	4564	dhx33
anura-02338_scyl2	1090	261	296	1212	772	5	261	3631	scyl2
ranoidea-04761_vwa8-ex2	434	261	342	657	540	5	261	2234	vwa8
anura-04851_ap4m1-ex3	289	261	293	460	274	5	261	1577	ap4m1
anura-04020_mbtd1-ex2	1042	260	268	1105	906	5	260	3581	mbtd1
ranoidea-07086_fam167b-ex1	1884	259	520	1820	1589	5	259	6072	fam167b
anura-03674_c6orf106-ex2	668	259	385	748	534	5	259	2594	c6orf106
ranoidea-04128_epdr1-ex2	843	258	441	924	803	5	258	3269	epdr1
anura-05256_ube4a-ex3	1093	371	257	1353	1158	5	257	4232	ube4a
anura-05690_uce-0710	462	257	413	477	490	5	257	2099	uce-0710
anura-03131_cdk7	555	256	501	764	683	5	256	2759	cdk7
anura-05686_arid1b-ex5	611	256	414	696	338	5	256	2315	arid1b
